电影名称,年份,演员信息
,2001,"[{""演员名称"": ""三轮明日美"", ""演员英文名称"": ""Asumi Miwa"", ""演员图片链接"": ""http://img31.mtime.cn/ph/836/924836/924836_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Murashima Ryo"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1224/959224/959224_1280X720X2.jpg""}, {""演员名称"": ""户田昌宏"", ""演员英文名称"": ""Masahiro Toda"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1948/939948/939948_1280X720X2.jpg""}]"
间谍佐尔格,2003,"[{""演员名称"": ""伊恩·格雷"", ""演员英文名称"": ""Iain Glen"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2014/06/24/100430.85164453_1280X720X2.jpg""}, {""演员名称"": ""椎名桔平"", ""演员英文名称"": ""Kippei Shiina"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/200615.16356459_1280X720X2.jpg""}, {""演员名称"": ""上川隆也"", ""演员英文名称"": ""Takaya Kamikawa"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/201752.16482267_1280X720X2.jpg""}, {""演员名称"": ""永泽俊矢"", ""演员英文名称"": ""Toshiya Nagasawa"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/201752.21532599_1280X720X2.jpg""}, {""演员名称"": ""叶月里绪奈"", ""演员英文名称"": ""Riona Hazuki"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/201752.38196655_1280X720X2.jpg""}, {""演员名称"": ""小雪"", ""演员英文名称"": ""Koyuki"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/201102.43463687_1280X720X2.jpg""}, {""演员名称"": ""夏川结衣"", ""演员英文名称"": ""Yui Natsukawa"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/201123.63239295_1280X720X2.jpg""}, {""演员名称"": ""榎木孝明"", ""演员英文名称"": ""Takaaki Enoki"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2014/09/30/103634.32581713_1280X720X2.jpg""}, {""演员名称"": ""大泷秀治"", ""演员英文名称"": ""Hideji Otaki"", ""演员图片链接"": ""http://img21.mtime.cn/ph/2011/12/01/203103.22751247_1280X720X2.jpg""}, {""演员名称"": ""岩下志麻"", ""演员英文名称"": ""Shima Iwashita"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2016/05/13/134932.77381553_1280X720X2.jpg""}, {""演员名称"": ""乌尔里希·穆埃"", ""演员英文名称"": ""Ulrich Mühe"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/201753.94852348_1280X720X2.jpg""}, {""演员名称"": ""本木雅弘"", ""演员英文名称"": ""Masahiro Motoki"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2016/01/21/101005.78260244_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Ralph-Peter Borchert"", ""演员图片链接"": ""http://img31.mtime.cn/ph/523/934523/934523_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Michael Christian"", ""演员图片链接"": ""http://img31.mtime.cn/ph/524/934524/934524_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Georg O.P. Eschert"", ""演员图片链接"": ""http://img31.mtime.cn/ph/525/934525/934525_1280X720X2.jpg""}, {""演员名称"": ""亚历珊德拉·芬德"", ""演员英文名称"": ""Alexandra Finder"", ""演员图片链接"": ""http://img31.mtime.cn/ph/526/934526/934526_1280X720X2.jpg""}, {""演员名称"": ""凯瑟琳·弗莱明"", ""演员英文名称"": ""Catherine H. Flemming"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/201753.28686687_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Karen Friesicke"", ""演员图片链接"": ""http://img31.mtime.cn/ph/528/934528/934528_1280X720X2.jpg""}, {""演员名称"": ""文森特·吉里"", ""演员英文名称"": ""Vincent Giry"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/212322.30740547_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Max Hopp"", ""演员图片链接"": ""http://img31.mtime.cn/ph/745/922745/922745_1280X720X2.jpg""}]"
法网柔情,1995,"[{""演员名称"": ""达芙妮·祖尼加"", ""演员英文名称"": ""Daphne Zuniga"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/204853.99717088_1280X720X2.jpg""}, {""演员名称"": ""大卫·詹姆斯·艾略特"", ""演员英文名称"": ""David James Elliott"", ""演员图片链接"": ""http://img21.mtime.cn/ph/2010/08/26/174941.69746701_1280X720X2.jpg""}, {""演员名称"": ""帕特丽夏·考莱姆伯"", ""演员英文名称"": ""Patricia Kalember"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/203022.38970363_1280X720X2.jpg""}, {""演员名称"": ""亚当·拉沃格纳"", ""演员英文名称"": ""Adam LaVorgna"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/204537.93556224_1280X720X2.jpg""}, {""演员名称"": ""梅·惠特曼"", ""演员英文名称"": ""Mae Whitman"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2015/02/26/171654.52103839_1280X720X2.jpg""}, {""演员名称"": ""文森特·温特莱斯卡"", ""演员英文名称"": ""Vincent Ventresca"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/201725.27703419_1280X720X2.jpg""}, {""演员名称"": ""崔西亚·奥尼尔"", ""演员英文名称"": ""Tricia O'Neil"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1959/1001959/1001959_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Nigel Bennett"", ""演员图片链接"": ""http://img5.mtime.cn/ph/2018/03/01/120623.46169087_1280X720X2.jpg""}, {""演员名称"": ""罗恩·李"", ""演员英文名称"": ""Ron Lea"", ""演员图片链接"": ""http://img5.mtime.cn/ph/2016/10/13/150948.93481435_1280X720X2.jpg""}, {""演员名称"": ""莎朗·劳伦斯"", ""演员英文名称"": ""Sharon Lawrence"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/203303.71811366_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Don Allison"", ""演员图片链接"": ""http://img31.mtime.cn/ph/410/988410/988410_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Damir Andrei"", ""演员图片链接"": ""http://img31.mtime.cn/ph/986/924986/924986_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Michael Caruana"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1883/971883/971883_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Vic Cummings"", ""演员图片链接"": ""http://img31.mtime.cn/ph/186/1012186/1012186_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Ray Doucette"", ""演员图片链接"": ""http://img31.mtime.cn/ph/187/1012187/1012187_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Don Francks"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1946/993946/993946_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Diego Fuentes"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1923/931923/931923_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Gary Gifford"", ""演员图片链接"": ""http://img31.mtime.cn/ph/188/1012188/1012188_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Dorothy Gordon"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1585/919585/919585_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Robert B. Kennedy"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2016/04/08/171247.57341773_1280X720X2.jpg""}]"
,1917,"[{""演员名称"": """", ""演员英文名称"": ""Charles Ray"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1853/893853/893853_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Sylvia Breamer"", ""演员图片链接"": ""http://img31.mtime.cn/ph/93/912093/912093_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Joseph J. Dowling"", ""演员图片链接"": ""http://img31.mtime.cn/ph/94/912094/912094_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Jerome Storm"", ""演员图片链接"": ""http://img31.mtime.cn/ph/95/912095/912095_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Darrell Foss"", ""演员图片链接"": ""http://img31.mtime.cn/ph/96/912096/912096_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Louis Durham"", ""演员图片链接"": ""http://img31.mtime.cn/ph/97/912097/912097_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Aggie Herring"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1043/1027043/1027043_1280X720X2.jpg""}]"
蜜桃熟了的夏日,1977,"[{""演员名称"": """", ""演员英文名称"": ""Olivia Pascal"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1469/1077469/1077469_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Betty Vergès"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1471/1077471/1077471_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Corinne Brodbeck"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1473/1077473/1077473_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Sabi Dorr"", ""演员图片链接"": ""http://img31.mtime.cn/ph/779/998779/998779_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Sylvia Froehlich"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1475/1077475/1077475_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Wolf Goldan"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1476/1077476/1077476_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Walter Kraus"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1113/993113/993113_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Karl Heinz Maslo"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1477/1077477/1077477_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Rut Rex"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1478/1077478/1077478_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Claus Richt"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1479/1077479/1077479_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Eric Wedekind"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1480/1077480/1077480_1280X720X2.jpg""}, {""演员名称"": ""托马斯·弗里斯奇"", ""演员英文名称"": ""Thomas Fritsch"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2016/09/08/173534.91257133_1280X720X2.jpg""}]"
姚明年,2004,"[{""演员名称"": ""姚明"", ""演员英文名称"": ""Ming Yao"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2014/03/14/154817.49333234_1280X720X2.jpg""}, {""演员名称"": ""查尔斯·巴克利"", ""演员英文名称"": ""Charles Barkley"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/204639.14705700_1280X720X2.jpg""}, {""演员名称"": ""史蒂夫·弗朗西斯"", ""演员英文名称"": ""Steve Francis"", ""演员图片链接"": ""http://img21.mtime.cn/ph/2010/10/15/154256.59865328_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Michael Irvin"", ""演员图片链接"": ""http://img31.mtime.cn/ph/984/914984/914984_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Ernie Johnson"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1742/1197742/1197742_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Cuttino Mobley"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1743/1197743/1197743_1280X720X2.jpg""}, {""演员名称"": ""沙奎尔·奥尼尔"", ""演员英文名称"": ""Shaquille O'Neal"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2014/03/14/153355.39008638_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Colin Pine"", ""演员图片链接"": ""http://img31.mtime.cn/ph/472/916472/916472_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Glen Rice"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1744/1197744/1197744_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Kenny Smith"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1745/1197745/1197745_1280X720X2.jpg""}]"
疯狂轮滑,1975,"[{""演员名称"": ""詹姆斯·卡恩"", ""演员英文名称"": ""James Caan"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2014/03/14/153816.44227745_1280X720X2.jpg""}, {""演员名称"": ""约翰·豪斯曼"", ""演员英文名称"": ""John Houseman"", ""演员图片链接"": ""http://img21.mtime.cn/ph/2012/04/25/114036.50214617_1280X720X2.jpg""}, {""演员名称"": ""莫德·亚当斯"", ""演员英文名称"": ""Maud Adams"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/210033.16209027_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""John Beck"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1953/939953/939953_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Moses Gunn"", ""演员图片链接"": ""http://img31.mtime.cn/ph/37/1054037/1054037_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Pamela Hensley"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1101/1071101/1071101_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Barbara Trentham"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1814/1079814/1079814_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""John Normington"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1815/1079815/1079815_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Shane Rimmer"", ""演员图片链接"": ""http://img31.mtime.cn/ph/651/962651/962651_1280X720X2.jpg""}, {""演员名称"": ""郭弼"", ""演员英文名称"": ""Burt Kwouk"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/200922.46015292_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Nancy Bleier"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1816/1079816/1079816_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Richard Le Parmentier"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2013/04/17/134013.37113834_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Robert Ito"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1864/981864/981864_1280X720X2.jpg""}, {""演员名称"": ""拉尔夫·理查德森"", ""演员英文名称"": ""Ralph Richardson"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/205813.58603619_1280X720X2.jpg""}, {""演员名称"": ""史蒂夫·博伊姆"", ""演员英文名称"": ""Steve Boyum"", ""演员图片链接"": ""http://img31.mtime.cn/ph/379/902379/902379_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Loftus Burton"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1818/1079818/1079818_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Anthony Chinn"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1952/1005952/1005952_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Abi Gouhad"", ""演员图片链接"": ""http://img31.mtime.cn/ph/67/946067/946067_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""David Griffin"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1819/1079819/1079819_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Alan Hamane"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1820/1079820/1079820_1280X720X2.jpg""}]"
,2004,"[{""演员名称"": """", ""演员英文名称"": ""Monsignor Lorenzo Albacete"", ""演员图片链接"": ""http://img31.mtime.cn/ph/328/916328/916328_1280X720X2.jpg""}, {""演员名称"": ""汤姆·布罗考"", ""演员英文名称"": ""Tom Brokaw"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2015/02/21/145110.96586195_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""John Burnett"", ""演员图片链接"": ""http://img31.mtime.cn/ph/330/916330/916330_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Anne Garrels"", ""演员图片链接"": ""http://img31.mtime.cn/ph/331/916331/916331_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Charles Gibson"", ""演员图片链接"": ""http://img5.mtime.cn/ph/2017/05/18/153743.52088356_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Saddam Hussein"", ""演员图片链接"": ""http://img31.mtime.cn/ph/333/916333/916333_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Steve Inskeep"", ""演员图片链接"": ""http://img31.mtime.cn/ph/334/916334/916334_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Christopher Joyce"", ""演员图片链接"": ""http://img31.mtime.cn/ph/335/916335/916335_1280X720X2.jpg""}, {""演员名称"": ""泰德·科佩尔"", ""演员英文名称"": ""Ted Koppel"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/195834.55628129_1280X720X2.jpg""}, {""演员名称"": ""奥萨马·本·拉登"", ""演员英文名称"": ""Osama bin Laden"", ""演员图片链接"": ""http://img31.mtime.cn/ph/337/916337/916337_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""David Martin"", ""演员图片链接"": ""http://img31.mtime.cn/ph/338/916338/916338_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Donald Rumsfeld"", ""演员图片链接"": ""http://img31.mtime.cn/ph/339/916339/916339_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Mike Shuster"", ""演员图片链接"": ""http://img31.mtime.cn/ph/340/916340/916340_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Bob Simon"", ""演员图片链接"": ""http://img31.mtime.cn/ph/341/916341/916341_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Ivan Watson"", ""演员图片链接"": ""http://img31.mtime.cn/ph/342/916342/916342_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Helen Whitney"", ""演员图片链接"": ""http://img31.mtime.cn/ph/343/916343/916343_1280X720X2.jpg""}]"
书剑恩仇录,1981,"[{""演员名称"": ""狄龙"", ""演员英文名称"": ""Lung Ti"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2016/08/31/005451.23131225_1280X720X2.jpg""}, {""演员名称"": ""白彪"", ""演员英文名称"": ""Jason Pai Piao"", ""演员图片链接"": ""http://img21.mtime.cn/ph/2011/03/14/162644.12755234_1280X720X2.jpg""}, {""演员名称"": ""艾飞"", ""演员英文名称"": ""Ai Fei"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/210623.26613800_1280X720X2.jpg""}, {""演员名称"": ""詹森"", ""演员英文名称"": ""Shen Chan"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/210452.15019181_1280X720X2.jpg""}, {""演员名称"": ""郑则仕"", ""演员英文名称"": ""Kent Cheng"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2016/08/30/163947.95231659_1280X720X2.jpg""}, {""演员名称"": ""陈琪琪"", ""演员英文名称"": ""Qiqi Chen"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/210802.18228011_1280X720X2.jpg""}, {""演员名称"": ""井淼"", ""演员英文名称"": ""Miao Ching"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/210504.14120713_1280X720X2.jpg""}, {""演员名称"": ""楚湘云"", ""演员英文名称"": ""Linda Chu"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/210241.87916146_1280X720X2.jpg""}, {""演员名称"": ""秦煌"", ""演员英文名称"": ""Wong Chun"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2016/08/31/122850.37396699_1280X720X2.jpg""}, {""演员名称"": ""夏萍"", ""演员英文名称"": ""Ping Ha"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2016/08/26/162709.29927309_1280X720X2.jpg""}, {""演员名称"": ""黄培基"", ""演员英文名称"": ""Pei Chi Huang"", ""演员图片链接"": ""http://img31.mtime.cn/ph/897/1096897/1096897_1280X720X2.jpg""}, {""演员名称"": ""关锋"", ""演员英文名称"": ""Feng Kuan"", ""演员图片链接"": ""http://img31.mtime.cn/ph/164/1160164/1160164_1280X720X2.jpg""}, {""演员名称"": ""谷峰"", ""演员英文名称"": ""Feng Ku"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2016/08/31/130135.47121177_1280X720X2.jpg""}, {""演员名称"": ""顾冠忠"", ""演员英文名称"": ""Kuan-chung Ku"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2016/09/05/174807.64259285_1280X720X2.jpg""}, {""演员名称"": ""罗烈"", ""演员英文名称"": ""Lieh Lo"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/203524.23872234_1280X720X2.jpg""}, {""演员名称"": ""沈劳"", ""演员英文名称"": ""Shen Lao"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1224/1089224/1089224_1280X720X2.jpg""}, {""演员名称"": ""孙建"", ""演员英文名称"": ""Chien Sun"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/210325.12378965_1280X720X2.jpg""}, {""演员名称"": ""王憾尘"", ""演员英文名称"": ""Wang Han Chen"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1242/1077242/1077242_1280X720X2.jpg""}, {""演员名称"": ""文雪儿"", ""演员英文名称"": ""Hsueh-erh Wen"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/210623.84279108_1280X720X2.jpg""}, {""演员名称"": ""王清河"", ""演员英文名称"": ""Ching-Ho Wang"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1926/1073926/1073926_1280X720X2.jpg""}]"
僵尸之夜,2004,"[{""演员名称"": ""缇诺·麦威斯"", ""演员英文名称"": ""Tino Mewes"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/200448.47585495_1280X720X2.jpg""}, {""演员名称"": ""曼努尔·科特兹"", ""演员英文名称"": ""Manuel Cortez"", ""演员图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/195805.76517795_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Thomas Schmieder"", ""演员图片链接"": ""http://img31.mtime.cn/ph/640/932640/932640_1280X720X2.jpg""}, {""演员名称"": ""科琳·费尔南德兹"", ""演员英文名称"": ""Collien Fernandes"", ""演员图片链接"": ""http://img21.mtime.cn/ph/2010/05/12/094523.44148897_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Hendrik Borgmann"", ""演员图片链接"": ""http://img31.mtime.cn/ph/641/932641/932641_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Nadine Germann"", ""演员图片链接"": ""http://img31.mtime.cn/ph/642/932642/932642_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Sissi Perlinger"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1126/925126/925126_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Henry Gründler"", ""演员图片链接"": ""http://img31.mtime.cn/ph/648/932648/932648_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Patricia Thielemann"", ""演员图片链接"": ""http://img31.mtime.cn/ph/164/932164/932164_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Oliver Grober"", ""演员图片链接"": ""http://img31.mtime.cn/ph/644/932644/932644_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Tom Lass"", ""演员图片链接"": ""http://img31.mtime.cn/ph/645/932645/932645_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Tim Wilde"", ""演员图片链接"": ""http://img31.mtime.cn/ph/780/926780/926780_1280X720X2.jpg""}, {""演员名称"": ""丹尼尔·克劳斯"", ""演员英文名称"": ""Daniel Krauss"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1066/943066/943066_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Sebastian Kroehnert"", ""演员图片链接"": ""http://img31.mtime.cn/ph/695/922695/922695_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Walter Gontermann"", ""演员图片链接"": ""http://img31.mtime.cn/ph/646/932646/932646_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Peter Rappenglück"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1122/925122/925122_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Christian Schneller"", ""演员图片链接"": ""http://img31.mtime.cn/ph/649/932649/932649_1280X720X2.jpg""}, {""演员名称"": ""西蒙·哥赛约翰"", ""演员英文名称"": ""Simon Gosejohann"", ""演员图片链接"": ""http://img31.mtime.cn/ph/643/932643/932643_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Arzu Bazman"", ""演员图片链接"": ""http://img31.mtime.cn/ph/1128/967128/967128_1280X720X2.jpg""}, {""演员名称"": """", ""演员英文名称"": ""Heinrich Giskes"", ""演员图片链接"": ""http://img31.mtime.cn/ph/650/932650/932650_1280X720X2.jpg""}]"
