电影名称,英文名称,评分,上映状态,上线时间,上线地区,类型,电影链接,图片链接,导演信息
,"Glowing, Growing",0.0,已上映,2001-10-11,加拿大,,http://movie.mtime.com/20005,http://img31.mtime.cn/mt/2014/02/23/004615.76738612_1280X720X2.jpg,"{""导演名称"": ""堀江庆"", ""导演英文名称"": ""Kei Horie"", ""导演图片链接"": ""http://img31.mtime.cn/ph/663/906663/906663_1280X720X2.jpg""}"
间谍佐尔格,Spy Sorge,0.0,已上映,2003-06-14,日本,"动作, 惊悚, 战争",http://movie.mtime.com/20004,http://img31.mtime.cn/mt/2014/02/23/004615.34266721_1280X720X2.jpg,"{""导演名称"": ""筱田正浩"", ""导演英文名称"": ""Masahiro Shinoda"", ""导演图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/192827.61047479_1280X720X2.jpg""}"
法网柔情,"""Degree of Guilt""",0.0,已上映,1995-10-29,美国,"剧情, 悬疑",http://movie.mtime.com/20009,http://img31.mtime.cn/mt/2014/02/23/004616.64096122_1280X720X2.jpg,"{""导演名称"": ""迈克·洛比"", ""导演英文名称"": ""Mike Robe"", ""导演图片链接"": ""http://img31.mtime.cn/ph/173/902173/902173_1280X720X2.jpg""}"
,The Pinch Hitter,0.0,已上映,1917-04-29,美国,喜剧,http://movie.mtime.com/20000,http://img31.mtime.cn/mt/2014/02/23/004611.69795911_1280X720X2.jpg,"{""导演名称"": """", ""导演英文名称"": ""Victor Schertzinger"", ""导演图片链接"": ""http://img31.mtime.cn/ph/1774/893774/893774_1280X720X2.jpg""}"
蜜桃熟了的夏日,Griechische Feigen,0.0,已上映,1977-06-29,芬兰,喜剧,http://movie.mtime.com/20013,http://img31.mtime.cn/mt/2014/02/23/004619.84299117_1280X720X2.jpg,"{""导演名称"": """", ""导演英文名称"": ""Siggi Götz"", ""导演图片链接"": ""http://img31.mtime.cn/ph/1417/897417/897417_1280X720X2.jpg""}"
姚明年,The Year of the Yao,7.7,已上映,2004-09-16,加拿大,纪录片,http://movie.mtime.com/20021,http://img31.mtime.cn/mt/2014/02/23/004625.60472461_1280X720X2.jpg,"{""导演名称"": """", ""导演英文名称"": ""Adam Del Deo"", ""导演图片链接"": ""http://img31.mtime.cn/ph/1422/907422/907422_1280X720X2.jpg""}"
疯狂轮滑,Rollerball,0.0,已上映,1975-06-25,美国,"动作, 科幻, 运动",http://movie.mtime.com/20022,http://img31.mtime.cn/mt/2014/02/23/004626.42853860_1280X720X2.jpg,"{""导演名称"": ""诺曼·杰威森"", ""导演英文名称"": ""Norman Jewison"", ""导演图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/193240.71039080_1280X720X2.jpg""}"
,Jak básníci neztrácejí nadeji,0.0,已上映,2004-01-22,捷克,"剧情, 喜剧",http://movie.mtime.com/20007,http://img31.mtime.cn/mt/2014/02/23/004616.83161702_1280X720X2.jpg,"{""导演名称"": """", ""导演英文名称"": ""Dusan Klein"", ""导演图片链接"": ""http://img31.mtime.cn/ph/1418/907418/907418_1280X720X2.jpg""}"
书剑恩仇录,Shu Jian en chou lu,0.0,已上映,1981-07-23,中国香港,武侠,http://movie.mtime.com/20014,http://img31.mtime.cn/mt/2014/02/23/004620.19885902_1280X720X2.jpg,"{""导演名称"": ""楚原"", ""导演英文名称"": ""Yuen Chor"", ""导演图片链接"": ""http://img5.mtime.cn/ph/2022/02/21/230623.74845497_1280X720X2.jpg""}"
僵尸之夜,"Nacht der lebenden Loser, Die",6.7,已上映,2004-11-04,德国,"恐怖, 喜剧",http://movie.mtime.com/20011,http://img31.mtime.cn/mt/2014/02/23/004619.57560119_1280X720X2.jpg,"{""导演名称"": """", ""导演英文名称"": ""Mathias Dinter"", ""导演图片链接"": ""http://img31.mtime.cn/ph/429/906429/906429_1280X720X2.jpg""}"
天外飞仙,My Stepmother Is an Alien,0.0,已上映,1988-12-09,美国,"科幻, 喜剧",http://movie.mtime.com/20023,http://img31.mtime.cn/mt/2015/05/12/112638.67307115_1280X720X2.jpg,"{""导演名称"": ""理查德·本杰明"", ""导演英文名称"": ""Richard Benjamin"", ""导演图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/193501.73929380_1280X720X2.jpg""}"
