电影名称,英文名称,评分,上映状态,上线时间,上线地区,类型,电影链接,图片链接,导演信息
女大学生之死,Nv Da Xue Sheng Zhi Si,0.0,已上映,,,剧情,http://movie.mtime.com/42503,http://img31.mtime.cn/mt/2016/02/14/165328.70958445_1280X720X2.jpg,"{""导演名称"": ""史蜀君"", ""导演英文名称"": ""Shujun Shi"", ""导演图片链接"": ""http://img31.mtime.cn/ph/2016/02/14/155337.47771733_1280X720X2.jpg""}"
冷暖亲情 上集,Cold and warm,0.0,已上映,1960-07-21,中国香港,剧情,http://movie.mtime.com/99337,,"{""导演名称"": ""黄岱"", ""导演英文名称"": ""Dai Huang"", ""导演图片链接"": ""http://img31.mtime.cn/ph/195/1172195/1172195_1280X720X2.jpg""}"
明月几时圆,Ming yueh chi shih yuen,0.0,已上映,1991-03-29,新加坡,剧情,http://movie.mtime.com/37193,,"{""导演名称"": ""陈耀圻"", ""导演英文名称"": ""Yao-chi Chen"", ""导演图片链接"": ""http://img31.mtime.cn/ph/1223/897223/897223_1280X720X2.jpg""}"
,Choque,0.0,已上映,2005-09-19,加拿大,"动作, 短片",http://movie.mtime.com/67337,,"{""导演名称"": ""纳乔·维加隆多"", ""导演英文名称"": ""Nacho Vigalondo"", ""导演图片链接"": ""http://img21.mtime.cn/ph/2010/07/01/094142.75519860_1280X720X2.jpg""}"
五月的第一个星期六,The First Saturday in May,0.0,已上映,2007-04-27,美国,"纪录片, 运动",http://movie.mtime.com/66157,http://img31.mtime.cn/mt/2014/02/23/050052.34188795_1280X720X2.jpg,"{""导演名称"": """", ""导演英文名称"": ""Brad Hennegan"", ""导演图片链接"": ""http://img31.mtime.cn/ph/91/1402091/1402091_1280X720X2.jpg""}"
,Adventure of the New Talents,0.0,已上映,,,,http://movie.mtime.com/36599,,"{""导演名称"": """", ""导演英文名称"": """", ""导演图片链接"": """"}"
爱与死之路,A Walk with Love and Death,0.0,已上映,1969-10-05,美国,剧情,http://movie.mtime.com/70909,http://img31.mtime.cn/mt/2014/02/23/052057.12088608_1280X720X2.jpg,"{""导演名称"": ""约翰·休斯顿"", ""导演英文名称"": ""John Huston"", ""导演图片链接"": ""http://img31.mtime.cn/ph/2015/10/16/113704.12018041_1280X720X2.jpg""}"
蝴蝶飞,Linger,5.8,已上映,2008-01-11,中国,"爱情, 剧情",http://movie.mtime.com/45958,http://img31.mtime.cn/mt/2016/09/06/230854.57576108_1280X720X2.jpg,"{""导演名称"": ""杜琪峯"", ""导演英文名称"": ""Johnnie To"", ""导演图片链接"": ""http://img5.mtime.cn/ph/2016/12/16/121206.11156023_1280X720X2.jpg""}"
爱丽丝最后的逃离,Alice ou la dernière fugue,0.0,已上映,1977-01-19,法国,"剧情, 悬疑",http://movie.mtime.com/29625,http://img31.mtime.cn/mt/2014/02/23/022505.90197365_1280X720X2.jpg,"{""导演名称"": ""克劳德·夏布洛尔"", ""导演英文名称"": ""Claude Chabrol"", ""导演图片链接"": ""http://img31.mtime.cn/ph/2014/06/24/124816.50504533_1280X720X2.jpg""}"
如何成为直人,The Art of Being Straight,0.0,已上映,2008-06-20,美国,"剧情, 喜剧",http://movie.mtime.com/94901,http://img31.mtime.cn/mt/2014/02/23/065302.11747521_1280X720X2.jpg,"{""导演名称"": """", ""导演英文名称"": ""Jesse Rosen"", ""导演图片链接"": ""http://img31.mtime.cn/ph/134/1582134/1582134_1280X720X2.jpg""}"
